Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,9,12,37.8875,12,38.97186,100
2,10,12,37.625,11,34.7753,100
2,11,12,37.3625,10,31.50702,90
2,12,12,37.1,9,28.96167,100
2,13,12,36.8375,8,26.97936,100
2,14,12,36.575,7,25.43553,28.57143
2,13,12,36.8375,8,26.97936,0
2,12,12,37.1,9,28.96167,25
2,15,12,36.3125,6,24.23319,0
2,16,12,36.05,5,23.29682,0
2,17,12,35.7875,4,22.56756,0
2,18,12,35.525,3,21.99962,0
2,19,12,35.2625,2,21.5573,0
3,9,12,37.8875,12,38.97186,90
3,10,12,37.625,11,34.7753,83.33334
3,11,12,37.3625,10,31.50702,100
3,12,12,37.1,9,28.96167,100
3,13,12,36.8375,8,26.97936,100
3,14,12,36.575,7,25.43553,66.66666
3,13,12,36.8375,8,26.97936,100
3,15,12,36.3125,6,24.23319,0
3,16,12,36.05,5,23.29682,0
3,17,12,35.7875,4,22.56756,0
3,18,12,35.525,3,21.99962,0
3,19,12,35.2625,2,21.5573,0
4,9,12,37.8875,12,38.97186,90
4,10,12,37.625,11,34.7753,50
4,9,12,37.8875,12,38.97186,75
4,11,12,37.3625,10,31.50702,0
4,12,12,37.1,9,28.96167,0
4,13,12,36.8375,8,26.97936,0
4,14,12,36.575,7,25.43553,0
4,15,12,36.3125,6,24.23319,0
4,16,12,36.05,5,23.29682,0
4,17,12,35.7875,4,22.56756,0
4,18,12,35.525,3,21.99962,0
4,19,12,35.2625,2,21.5573,0
