Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
3,12,12,37.1,9,28.96167,100
3,12,13,37.1,9,28.96167,100
3,12,15,39.76,9,28.96167,84.61539
3,12,16,39.76,9,28.96167,71.42857
3,12,16,39.76,9,28.96167,83.33334
3,12,17,39.76,9,28.96167,100
3,12,18,39.76,9,28.96167,100
3,12,19,39.76,9,28.96167,100
3,12,20,39.76,9,28.96167,100
3,12,21,39.76,9,28.96167,80
3,12,22,39.76,9,28.96167,0
3,12,23,39.76,9,28.96167,100
3,12,25,39.76,9,28.96167,58.33333
3,12,25,39.76,9,28.96167,85.71429
