Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
0,0,5,40.25,21,200,100
0,1,5,39.9875,20,160.1841,100
0,2,5,39.725,19,129.1755,100
0,3,5,39.4625,18,105.026,100
0,4,5,39.2,17,86.2183,100
0,5,5,38.9375,16,71.57086,100
0,6,5,38.675,15,60.16343,100
0,7,5,38.4125,14,51.27931,100
0,8,5,38.15,13,44.36035,100
0,9,5,37.8875,12,38.97186,100
0,10,5,37.625,11,34.7753,100
0,11,5,37.3625,10,31.50702,50
0,10,5,37.625,11,34.7753,66.66666
1,0,5,40.25,21,200,100
1,1,5,39.9875,20,160.1841,83.33334
1,2,5,39.725,19,129.1755,100
1,3,5,39.4625,18,105.026,100
1,4,5,39.2,17,86.2183,100
1,5,5,38.9375,16,71.57086,85.71429
1,6,5,38.675,15,60.16343,100
1,7,5,38.4125,14,51.27931,100
1,8,5,38.15,13,44.36035,100
1,9,5,37.8875,12,38.97186,100
1,10,5,37.625,11,34.7753,100
1,11,5,37.3625,10,31.50702,100
1,12,5,37.1,9,28.96167,100
1,13,5,36.8375,8,26.97936,100
1,14,5,36.575,7,25.43553,87.5
1,15,5,36.3125,6,24.23319,100
1,16,5,36.05,5,23.29682,100
1,17,5,35.7875,4,22.56756,100
1,18,5,35.525,3,21.99962,100
1,19,5,35.2625,2,21.5573,80
