Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,9,23,41.545,12,38.97186,83.33334
2,10,23,40.95,11,34.7753,100
2,11,23,40.355,10,31.50702,100
2,12,23,39.76,9,28.96167,100
2,13,23,39.165,8,26.97936,100
2,14,23,38.57,7,25.43553,80
2,15,23,37.975,6,24.23319,50
2,14,23,38.57,7,25.43553,100
2,15,23,37.975,6,24.23319,73.33334
2,16,23,37.38,5,23.29682,40
2,15,23,37.975,6,24.23319,50
2,17,23,36.785,4,22.56756,0
2,18,23,36.19,3,21.99962,0
2,19,23,35.595,2,21.5573,0
3,9,23,41.545,12,38.97186,100
3,10,23,40.95,11,34.7753,100
3,11,23,40.355,10,31.50702,100
3,12,23,39.76,9,28.96167,100
3,13,23,39.165,8,26.97936,83.33334
3,14,23,38.57,7,25.43553,62.5
3,14,23,38.57,7,25.43553,0
3,15,23,37.975,6,24.23319,0
3,16,23,37.38,5,23.29682,0
3,17,23,36.785,4,22.56756,0
3,18,23,36.19,3,21.99962,0
3,19,23,35.595,2,21.5573,0
4,9,23,41.545,12,38.97186,100
4,10,23,40.95,11,34.7753,100
4,11,23,40.355,10,31.50702,100
4,12,23,39.76,9,28.96167,100
4,13,23,39.165,8,26.97936,77.77778
4,14,23,38.57,7,25.43553,85.71429
4,15,23,37.975,6,24.23319,75
4,15,23,37.975,6,24.23319,0
4,16,23,37.38,5,23.29682,0
4,17,23,36.785,4,22.56756,0
4,18,23,36.19,3,21.99962,0
4,19,23,35.595,2,21.5573,0
