Experiment Index, Participant Index, Trial Left Frequency, Trial Left Roughness, Trial Left Amplitude, Trial Right Frequency, Trial Right Roughness, Trial Right Amplitude, Left Frequency, Left Roughness, Left Amplitude, Right Frequency, Right Roughness, Right Amplitude, Visual Frequency Difference Between Sides, Haptic Frequency Difference Between Sides, Amplitude Difference Between Sides
0,0,30,-20,1,30,-20,2,55.38096,-121.5238,1,36.57143,-46.28571,1,18.80953,75.23813,0
0,1,30,-20,1,30,-20,2,40.76191,-63.04765,1,58.57143,-134.2857,1,17.80952,71.23805,0
0,2,30,-20,1,30,-20,2,64.80952,-159.2381,1,40,-60,1,24.80952,99.23807,0
0,3,30,-20,1,30,-20,2,37.57143,-50.28572,1,63.36906,-153.4762,1,25.79763,103.1905,0
0,4,30,-20,1,30,-20,2,70.04762,-180.1905,1,31.41666,-25.66663,1,38.63096,154.5238,0
0,5,30,-20,1,30,-20,2,55.95235,-123.8094,1,31.33334,-25.33336,1,24.61901,98.47606,0
0,6,30,-20,1,30,-20,2,60.61904,-142.4762,1,63.89286,-155.5714,1,3.273815,13.09526,0
0,7,30,-20,1,30,-20,2,74.2381,-196.9524,1,44.51191,-78.04765,1,29.72618,118.9047,0
0,8,30,-20,1,30,-20,2,27.09523,-8.380913,1,78.03574,-212.1429,1,50.94051,203.762,0
0,9,30,-20,1,30,-20,2,25,0,1,52.23809,-108.9523,1,27.23809,108.9523,0
0,10,30,-20,1,30,-20,2,44.38094,-77.52377,1,80,-220,1,35.61906,142.4762,0
0,11,30,-20,1,30,-20,2,52.76191,-111.0477,1,80,-220,1,27.23809,108.9523,0
0,12,30,-20,1,30,-20,2,80,-220,1,50.01191,-100.0477,1,29.98809,119.9523,0
0,13,30,-20,1,30,-20,2,32.59522,-30.38089,1,64.85714,-159.4286,1,32.26192,129.0477,0
