Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
5,9,38,41.545,12,38.97186,100
5,10,38,40.95,11,34.7753,100
5,11,38,40.355,10,31.50702,100
5,12,38,39.76,9,28.96167,100
5,13,38,39.165,8,26.97936,100
5,14,38,38.57,7,25.43553,100
5,15,38,37.975,6,24.23319,100
5,16,38,37.38,5,23.29682,83.33334
5,17,38,36.785,4,22.56756,100
5,18,38,36.19,3,21.99962,25
5,17,38,36.785,4,22.56756,100
5,18,38,36.19,3,21.99962,90
5,19,38,35.595,2,21.5573,66.66666
5,19,38,35.595,2,21.5573,0
6,9,38,41.545,12,38.97186,100
6,10,38,40.95,11,34.7753,100
6,11,38,40.355,10,31.50702,100
6,12,38,39.76,9,28.96167,100
6,13,38,39.165,8,26.97936,100
6,14,38,38.57,7,25.43553,100
6,15,38,37.975,6,24.23319,100
6,16,38,37.38,5,23.29682,100
6,17,38,36.785,4,22.56756,100
6,18,38,36.19,3,21.99962,100
6,19,38,35.595,2,21.5573,80
6,19,38,35.595,2,21.5573,0
