Trial Frequency, Trial Roughness, Trial Amplitude, Participant Frequency, Participant Roughness, Participant Amplitude, Frequency Error, Roughness Error, Amplitude Error
30,-20,1,64.80952,-159.2381,-159.2381,0,0
30,-20,2,40,-60,-60,0,0
52.5,-110,2,64.80952,-159.2381,-159.2381,0,0
52.5,-110,2,69.13097,-176.5239,-176.5239,0,0
30,-20,2,64.80952,-159.2381,-159.2381,0,0
30,-20,2,76.46429,-205.8571,-205.8571,0,0
75,-200,1,64.80952,-159.2381,-159.2381,0,0
75,-200,2,39.79763,-59.19051,-59.19051,0,0
75,-200,2,55.38094,-121.5238,-121.5238,0,0
75,-200,2,57.08334,-128.3334,-128.3334,0,0
52.5,-110,2,63.23809,-152.9523,-152.9523,0,0
52.5,-110,1,62.84525,-151.381,-151.381,0,0
