Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
1,18,0,35.525,3,21.99962,0
1,18,1,35.525,3,21.99962,66.66666
1,18,2,35.525,3,21.99962,0
1,18,3,35.525,3,21.99962,0
1,18,4,35.525,3,21.99962,0
1,18,5,35.525,3,21.99962,87.5
1,18,6,35.525,3,21.99962,0
1,18,7,35.525,3,21.99962,0
1,18,8,35.525,3,21.99962,0
1,18,9,35.525,3,21.99962,0
1,18,10,35.525,3,21.99962,0
1,18,11,35.525,3,21.99962,0
1,18,11,35.525,3,21.99962,0
1,18,13,35.525,3,21.99962,0
