Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,9,22,41.545,12,38.97186,40
2,8,22,42.14,13,44.36035,87.5
2,9,22,41.545,12,38.97186,66.66666
2,10,22,40.95,11,34.7753,0
2,11,22,40.355,10,31.50702,0
2,12,22,39.76,9,28.96167,0
2,13,22,39.165,8,26.97936,0
2,14,22,38.57,7,25.43553,0
2,15,22,37.975,6,24.23319,0
2,16,22,37.38,5,23.29682,0
2,17,22,36.785,4,22.56756,0
2,18,22,36.19,3,21.99962,0
2,19,22,35.595,2,21.5573,0
3,9,22,41.545,12,38.97186,77.77778
3,10,22,40.95,11,34.7753,71.42857
3,11,22,40.355,10,31.50702,37.5
3,10,22,40.95,11,34.7753,37.5
3,12,22,39.76,9,28.96167,0
3,13,22,39.165,8,26.97936,0
3,14,22,38.57,7,25.43553,0
3,15,22,37.975,6,24.23319,0
3,16,22,37.38,5,23.29682,0
3,17,22,36.785,4,22.56756,0
3,18,22,36.19,3,21.99962,0
3,19,22,35.595,2,21.5573,0
4,9,22,41.545,12,38.97186,50
4,8,22,42.14,13,44.36035,85.71429
4,9,22,41.545,12,38.97186,75
4,10,22,40.95,11,34.7753,0
4,11,22,40.355,10,31.50702,0
4,12,22,39.76,9,28.96167,0
4,13,22,39.165,8,26.97936,0
4,14,22,38.57,7,25.43553,0
4,15,22,37.975,6,24.23319,0
4,16,22,37.38,5,23.29682,0
4,17,22,36.785,4,22.56756,0
4,18,22,36.19,3,21.99962,0
4,19,22,35.595,2,21.5573,0
