Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,9,19,41.545,12,38.97186,85.71429
2,10,19,40.95,11,34.7753,100
2,11,19,40.355,10,31.50702,100
2,12,19,39.76,9,28.96167,100
2,13,19,39.165,8,26.97936,100
2,14,19,38.57,7,25.43553,58.33333
2,13,19,39.165,8,26.97936,76.92308
2,14,19,38.57,7,25.43553,87.5
2,15,19,37.975,6,24.23319,100
2,16,19,37.38,5,23.29682,87.5
2,17,19,36.785,4,22.56756,33.33333
2,16,19,37.38,5,23.29682,33.33333
2,18,19,36.19,3,21.99962,0
2,19,19,35.595,2,21.5573,0
3,9,19,41.545,12,38.97186,100
3,10,19,40.95,11,34.7753,75
3,11,19,40.355,10,31.50702,100
3,12,19,39.76,9,28.96167,100
3,13,19,39.165,8,26.97936,100
3,14,19,38.57,7,25.43553,75
3,15,19,37.975,6,24.23319,87.5
3,16,19,37.38,5,23.29682,42.85714
3,15,19,37.975,6,24.23319,42.85714
3,17,19,36.785,4,22.56756,0
3,18,19,36.19,3,21.99962,0
3,19,19,35.595,2,21.5573,0
4,9,19,41.545,12,38.97186,66.66666
4,10,19,40.95,11,34.7753,100
4,11,19,40.355,10,31.50702,76.92308
4,12,19,39.76,9,28.96167,100
4,13,19,39.165,8,26.97936,66.66666
4,12,19,39.76,9,28.96167,66.66666
4,14,19,38.57,7,25.43553,0
4,15,19,37.975,6,24.23319,0
4,16,19,37.38,5,23.29682,0
4,17,19,36.785,4,22.56756,0
4,18,19,36.19,3,21.99962,0
4,19,19,35.595,2,21.5573,0
