Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,9,17,41.545,12,38.97186,100
2,10,17,40.95,11,34.7753,100
2,11,17,40.355,10,31.50702,100
2,12,17,39.76,9,28.96167,100
2,13,17,39.165,8,26.97936,100
2,14,17,38.57,7,25.43553,83.33334
2,15,17,37.975,6,24.23319,100
2,16,17,37.38,5,23.29682,54.54546
2,15,17,37.975,6,24.23319,33.33333
2,14,17,38.57,7,25.43553,85.71429
2,15,17,37.975,6,24.23319,100
2,16,17,37.38,5,23.29682,100
2,17,17,36.785,4,22.56756,0
2,18,17,36.19,3,21.99962,0
2,19,17,35.595,2,21.5573,0
0,16,17,37.38,5,23.29682,100
0,17,17,36.785,4,22.56756,0
0,18,17,36.19,3,21.99962,0
0,19,17,35.595,2,21.5573,0
3,9,17,41.545,12,38.97186,100
3,10,17,40.95,11,34.7753,100
3,11,17,40.355,10,31.50702,100
3,12,17,39.76,9,28.96167,100
3,13,17,39.165,8,26.97936,100
3,14,17,38.57,7,25.43553,87.5
3,15,17,37.975,6,24.23319,100
3,16,17,37.38,5,23.29682,57.14286
3,16,17,37.38,5,23.29682,0
3,17,17,36.785,4,22.56756,0
3,18,17,36.19,3,21.99962,0
3,19,17,35.595,2,21.5573,0
4,9,17,41.545,12,38.97186,100
4,10,17,40.95,11,34.7753,100
4,11,17,40.355,10,31.50702,100
4,12,17,39.76,9,28.96167,100
4,13,17,39.165,8,26.97936,100
4,14,17,38.57,7,25.43553,88.88889
4,15,17,37.975,6,24.23319,80
4,16,17,37.38,5,23.29682,33.33333
4,16,17,37.38,5,23.29682,0
4,17,17,36.785,4,22.56756,0
4,18,17,36.19,3,21.99962,0
4,19,17,35.595,2,21.5573,0
