Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
0,0,7,40.25,21,200,100
0,1,7,39.9875,20,160.1841,100
0,2,7,39.725,19,129.1755,100
0,3,7,39.4625,18,105.026,100
0,4,7,39.2,17,86.2183,100
0,5,7,38.9375,16,71.57086,100
0,6,7,38.675,15,60.16343,100
0,7,7,38.4125,14,51.27931,100
0,8,7,38.15,13,44.36035,85.71429
0,9,7,37.8875,12,38.97186,71.42857
0,10,7,37.625,11,34.7753,76.92308
0,11,7,37.3625,10,31.50702,100
0,12,7,37.1,9,28.96167,83.33334
0,13,7,36.8375,8,26.97936,100
0,14,7,36.575,7,25.43553,100
0,15,7,36.3125,6,24.23319,81.81818
0,16,7,36.05,5,23.29682,50
1,0,7,40.25,21,200,100
1,1,7,39.9875,20,160.1841,100
1,2,7,39.725,19,129.1755,100
1,3,7,39.4625,18,105.026,83.33334
1,4,7,39.2,17,86.2183,100
1,5,7,38.9375,16,71.57086,100
1,6,7,38.675,15,60.16343,100
1,7,7,38.4125,14,51.27931,100
1,8,7,38.15,13,44.36035,100
1,9,7,37.8875,12,38.97186,100
1,10,7,37.625,11,34.7753,100
1,11,7,37.3625,10,31.50702,83.33334
1,12,7,37.1,9,28.96167,100
1,13,7,36.8375,8,26.97936,80
1,14,7,36.575,7,25.43553,60
