Experiment Index, Participant Index, Trial Left Frequency, Trial Left Roughness, Trial Left Amplitude, Trial Right Frequency, Trial Right Roughness, Trial Right Amplitude, Left Frequency, Left Roughness, Left Amplitude, Right Frequency, Right Roughness, Right Amplitude, Visual Frequency Difference Between Sides, Haptic Frequency Difference Between Sides, Amplitude Difference Between Sides
4,0,52.5,-110,2,52.5,-110,2,75.33334,-201.3333,1,73.76189,-195.0475,1,1.571449,6.285797,0
4,1,52.5,-110,2,52.5,-110,2,49.14286,-96.57143,1,50.1905,-100.762,1,1.04764,4.19057,0
4,2,52.5,-110,2,52.5,-110,2,64.80952,-159.2381,1,69.13097,-176.5239,1,4.321449,17.2858,0
4,3,52.5,-110,2,52.5,-110,2,62.19047,-148.7619,1,51.84525,-107.381,1,10.34522,41.38087,0
4,4,52.5,-110,2,52.5,-110,2,56.95237,-127.8095,1,63.36906,-153.4762,1,6.416683,25.66673,0
4,5,52.5,-110,2,52.5,-110,2,36,-44,1,61.79763,-147.1905,1,25.79763,103.1905,0
4,6,52.5,-110,2,52.5,-110,2,64.28571,-157.1429,1,68.60715,-174.4286,1,4.321434,17.28574,0
4,7,52.5,-110,2,52.5,-110,2,56.42857,-125.7143,1,55.51191,-122.0477,1,0.9166603,3.666641,0
4,8,52.5,-110,2,52.5,-110,2,80,-220,1,27.61903,-10.47613,1,52.38097,209.5239,0
4,9,52.5,-110,2,52.5,-110,2,44.42857,-77.71428,1,48.09523,-92.38092,1,3.66666,14.66664,0
