Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,9,20,41.545,12,38.97186,100
2,10,20,40.95,11,34.7753,100
2,11,20,40.355,10,31.50702,100
2,12,20,39.76,9,28.96167,100
2,13,20,39.165,8,26.97936,100
2,14,20,38.57,7,25.43553,100
2,15,20,37.975,6,24.23319,100
2,16,20,37.38,5,23.29682,71.42857
2,16,20,37.38,5,23.29682,0
2,17,20,36.785,4,22.56756,0
2,18,20,36.19,3,21.99962,0
2,19,20,35.595,2,21.5573,0
3,9,20,41.545,12,38.97186,100
3,10,20,40.95,11,34.7753,100
3,11,20,40.355,10,31.50702,83.33334
3,12,20,39.76,9,28.96167,100
3,13,20,39.165,8,26.97936,100
3,14,20,38.57,7,25.43553,100
3,15,20,37.975,6,24.23319,100
3,16,20,37.38,5,23.29682,100
3,17,20,36.785,4,22.56756,33.33333
3,17,20,36.785,4,22.56756,0
3,18,20,36.19,3,21.99962,0
3,19,20,35.595,2,21.5573,0
4,9,20,41.545,12,38.97186,100
4,10,20,40.95,11,34.7753,100
4,11,20,40.355,10,31.50702,100
4,12,20,39.76,9,28.96167,100
4,13,20,39.165,8,26.97936,100
4,14,20,38.57,7,25.43553,71.42857
4,14,20,38.57,7,25.43553,0
4,15,20,37.975,6,24.23319,0
4,16,20,37.38,5,23.29682,0
4,17,20,36.785,4,22.56756,0
4,18,20,36.19,3,21.99962,0
4,19,20,35.595,2,21.5573,0
