Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
5,9,30,41.545,12,38.97186,100
5,10,30,40.95,11,34.7753,100
5,10,30,40.95,11,34.7753,0
5,11,30,40.355,10,31.50702,0
5,12,30,39.76,9,28.96167,0
5,13,30,39.165,8,26.97936,0
5,14,30,38.57,7,25.43553,0
5,15,30,37.975,6,24.23319,0
5,16,30,37.38,5,23.29682,0
5,17,30,36.785,4,22.56756,0
5,18,30,36.19,3,21.99962,0
5,19,30,35.595,2,21.5573,0
5,9,30,41.545,12,38.97186,100
5,10,30,40.95,11,34.7753,100
5,11,30,40.355,10,31.50702,100
5,12,30,39.76,9,28.96167,81.25
5,13,30,39.165,8,26.97936,66.66666
5,13,30,39.165,8,26.97936,0
5,14,30,38.57,7,25.43553,0
5,15,30,37.975,6,24.23319,0
5,16,30,37.38,5,23.29682,0
5,17,30,36.785,4,22.56756,0
5,18,30,36.19,3,21.99962,0
5,19,30,35.595,2,21.5573,0
6,9,30,41.545,12,38.97186,100
6,10,30,40.95,11,34.7753,100
6,11,30,40.355,10,31.50702,100
6,12,30,39.76,9,28.96167,100
6,13,30,39.165,8,26.97936,84.61539
6,14,30,38.57,7,25.43553,66.66666
6,15,30,37.975,6,24.23319,0
6,14,30,38.57,7,25.43553,0
6,16,30,37.38,5,23.29682,0
6,17,30,36.785,4,22.56756,0
6,18,30,36.19,3,21.99962,0
6,19,30,35.595,2,21.5573,0
