Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
0,0,3,40.25,21,200,80
0,1,3,39.9875,20,160.1841,100
0,2,3,39.725,19,129.1755,100
0,3,3,39.4625,18,105.026,100
0,4,3,39.2,17,86.2183,90
0,5,3,38.9375,16,71.57086,100
0,6,3,38.675,15,60.16343,100
0,7,3,38.4125,14,51.27931,100
0,8,3,38.15,13,44.36035,87.5
0,9,3,37.8875,12,38.97186,75
1,0,3,40.25,21,200,100
1,1,3,39.9875,20,160.1841,100
1,2,3,39.725,19,129.1755,100
1,3,3,39.4625,18,105.026,100
1,4,3,39.2,17,86.2183,100
1,5,3,38.9375,16,71.57086,100
1,6,3,38.675,15,60.16343,100
1,7,3,38.4125,14,51.27931,100
1,8,3,38.15,13,44.36035,100
1,9,3,37.8875,12,38.97186,100
1,10,3,37.625,11,34.7753,100
1,11,3,37.3625,10,31.50702,100
1,12,3,37.1,9,28.96167,81.81818
1,13,3,36.8375,8,26.97936,50
