Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,9,18,41.545,12,38.97186,50
2,8,18,42.14,13,44.36035,70
2,9,18,41.545,12,38.97186,100
2,10,18,40.95,11,34.7753,61.53846
2,9,18,41.545,12,38.97186,100
2,10,18,40.95,11,34.7753,100
2,11,18,40.355,10,31.50702,77.77778
2,12,18,39.76,9,28.96167,78.57143
2,13,18,39.165,8,26.97936,100
2,14,18,38.57,7,25.43553,100
2,15,18,37.975,6,24.23319,83.33334
2,16,18,37.38,5,23.29682,50
2,15,18,37.975,6,24.23319,100
2,16,18,37.38,5,23.29682,75
2,17,18,36.785,4,22.56756,0
2,18,18,36.19,3,21.99962,0
2,19,18,35.595,2,21.5573,0
3,9,18,41.545,12,38.97186,100
3,10,18,40.95,11,34.7753,100
3,11,18,40.355,10,31.50702,100
3,12,18,39.76,9,28.96167,100
3,13,18,39.165,8,26.97936,100
3,14,18,38.57,7,25.43553,77.77778
3,15,18,37.975,6,24.23319,50
3,15,18,37.975,6,24.23319,0
3,16,18,37.38,5,23.29682,0
3,17,18,36.785,4,22.56756,0
3,18,18,36.19,3,21.99962,0
3,19,18,35.595,2,21.5573,0
4,9,18,41.545,12,38.97186,100
4,10,18,40.95,11,34.7753,100
4,11,18,40.355,10,31.50702,100
4,12,18,39.76,9,28.96167,100
4,13,18,39.165,8,26.97936,90
4,14,18,38.57,7,25.43553,87.5
4,15,18,37.975,6,24.23319,57.14286
4,15,18,37.975,6,24.23319,0
4,16,18,37.38,5,23.29682,0
4,17,18,36.785,4,22.56756,0
4,18,18,36.19,3,21.99962,0
4,19,18,35.595,2,21.5573,0
