Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
3,15,12,36.3125,6,24.23319,66.66666
3,15,13,36.3125,6,24.23319,100
3,15,15,37.975,6,24.23319,100
3,15,16,37.975,6,24.23319,0
3,15,17,37.975,6,24.23319,100
3,15,18,37.975,6,24.23319,50
3,15,18,37.975,6,24.23319,0
3,15,19,37.975,6,24.23319,87.5
3,15,19,37.975,6,24.23319,42.85714
3,15,20,37.975,6,24.23319,100
3,15,21,37.975,6,24.23319,40
3,15,21,37.975,6,24.23319,100
3,15,22,37.975,6,24.23319,0
