Experiment Index, Participant Index, Trial Left Frequency, Trial Left Roughness, Trial Left Amplitude, Trial Right Frequency, Trial Right Roughness, Trial Right Amplitude, Left Frequency, Left Roughness, Left Amplitude, Right Frequency, Right Roughness, Right Amplitude, Visual Frequency Difference Between Sides, Haptic Frequency Difference Between Sides, Amplitude Difference Between Sides
2,0,75,-200,1,75,-200,2,64.28571,-157.1429,1,48.09523,-92.38091,1,16.19049,64.76195,0
2,1,75,-200,1,75,-200,2,49.14286,-96.57143,1,53.33335,-113.3334,1,4.19049,16.76197,0
2,2,75,-200,1,75,-200,2,64.80952,-159.2381,1,39.79763,-59.19051,1,25.01189,100.0476,0
2,3,75,-200,1,75,-200,2,44.90475,-79.61899,1,63.36906,-153.4762,1,18.46431,73.85724,0
2,4,75,-200,1,75,-200,2,26.57143,-6.285713,1,50.79763,-103.1905,1,24.2262,96.90479,0
2,5,75,-200,1,75,-200,2,78.95238,-215.8095,1,42.94048,-71.76193,1,36.01189,144.0476,0
2,6,75,-200,1,75,-200,2,72.14286,-188.5714,1,76.98811,-207.9525,1,4.845253,19.38101,0
2,7,75,-200,1,75,-200,2,80,-220,1,42.41668,-69.66673,1,37.58332,150.3333,0
2,8,75,-200,1,75,-200,2,27.61904,-10.47617,1,65.85715,-163.4286,1,38.23811,152.9524,0
2,9,75,-200,1,75,-200,2,41.80952,-67.23807,1,25,0,1,16.80952,67.23807,0
2,10,75,-200,1,75,-200,2,25,0,1,55.90475,-123.619,1,30.90475,123.619,0
2,11,75,-200,1,75,-200,2,56.95236,-127.8094,1,80,-220,1,23.04764,92.19057,0
2,12,75,-200,1,75,-200,2,25,0,1,69.5238,-178.0952,1,44.5238,178.0952,0
2,13,75,-200,1,75,-200,2,31.5476,-26.19041,1,72.01193,-188.0477,1,40.46433,161.8573,0
2,14,75,-200,1,75,-200,2,64.0238,-156.0952,1,73.05954,-192.2382,1,9.035736,36.14294,0
2,15,75,-200,1,75,-200,2,64.0238,-156.0952,1,53.15477,-112.6191,1,10.86903,43.47614,0
2,16,75,-200,1,75,-200,2,25,0,1,38.14286,-52.57143,1,13.14286,52.57143,0
2,18,75,-200,1,75,-200,2,35.21429,-40.85715,1,60.48811,-141.9525,1,25.27383,101.0953,0
