Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
0,0,4,41.3,21,200,100
0,1,4,40.985,20,160.1841,83.33334
0,2,4,40.67,19,129.1755,100
0,3,4,40.355,18,105.026,100
0,4,4,40.04,17,86.2183,100
0,5,4,39.725,16,71.57086,100
0,6,4,39.41,15,60.16343,100
0,7,4,39.095,14,51.27931,100
0,8,4,38.78,13,44.36035,100
0,9,4,38.465,12,38.97186,100
0,10,4,38.15,11,34.7753,88.88889
0,11,4,37.835,10,31.50702,100
0,12,4,37.52,9,28.96167,88.88889
0,13,4,37.205,8,26.97936,100
0,14,4,36.89,7,25.43553,83.33334
0,15,4,36.575,6,24.23319,81.81818
0,16,4,36.26,5,23.29682,88.88889
0,17,4,35.945,4,22.56756,70.58823
0,18,4,35.63,3,21.99962,73.33334
0,19,4,35.315,2,21.5573,53.84615
1,0,4,41.3,21,200,100
1,1,4,40.985,20,160.1841,100
1,2,4,40.67,19,129.1755,0
1,0,4,40.25,21,200,71.42857
1,1,4,39.9875,20,160.1841,100
1,2,4,39.725,19,129.1755,100
1,3,4,39.4625,18,105.026,100
1,4,4,39.2,17,86.2183,100
1,5,4,38.9375,16,71.57086,100
1,6,4,38.675,15,60.16343,87.5
1,7,4,38.4125,14,51.27931,100
1,8,4,38.15,13,44.36035,100
1,9,4,37.8875,12,38.97186,100
1,10,4,37.625,11,34.7753,100
1,11,4,37.3625,10,31.50702,100
1,12,4,37.1,9,28.96167,77.77778
1,13,4,36.8375,8,26.97936,76.92308
1,14,4,36.575,7,25.43553,50
