Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
5,9,34,41.545,12,38.97186,100
5,10,34,40.95,11,34.7753,100
5,11,34,40.355,10,31.50702,100
5,12,34,39.76,9,28.96167,75
5,13,34,39.165,8,26.97936,100
5,14,34,38.57,7,25.43553,42.85714
5,13,34,39.165,8,26.97936,64.28571
5,12,34,39.76,9,28.96167,64.28571
5,15,34,37.975,6,24.23319,0
5,16,34,37.38,5,23.29682,0
5,17,34,36.785,4,22.56756,0
5,18,34,36.19,3,21.99962,0
5,19,34,35.595,2,21.5573,0
6,9,34,41.545,12,38.97186,100
6,10,34,40.95,11,34.7753,57.14286
6,9,34,41.545,12,38.97186,77.77778
6,10,34,40.95,11,34.7753,100
6,11,34,40.355,10,31.50702,100
6,12,34,39.76,9,28.96167,100
6,13,34,39.165,8,26.97936,57.14286
6,13,34,39.165,8,26.97936,0
6,14,34,38.57,7,25.43553,0
6,15,34,37.975,6,24.23319,0
6,16,34,37.38,5,23.29682,0
6,17,34,36.785,4,22.56756,0
6,18,34,36.19,3,21.99962,0
6,19,34,35.595,2,21.5573,0
