Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
0,0,9,40.25,21,200,100
0,1,9,39.9875,20,160.1841,100
0,2,9,39.725,19,129.1755,100
0,3,9,39.4625,18,105.026,100
0,4,9,39.2,17,86.2183,100
0,5,9,38.9375,16,71.57086,100
0,6,9,38.675,15,60.16343,100
0,7,9,38.4125,14,51.27931,100
0,8,9,38.15,13,44.36035,100
0,9,9,37.8875,12,38.97186,100
0,10,9,37.625,11,34.7753,100
0,11,9,37.3625,10,31.50702,100
0,12,9,37.1,9,28.96167,100
0,13,9,36.8375,8,26.97936,100
0,14,9,36.575,7,25.43553,100
0,15,9,36.3125,6,24.23319,85.71429
0,16,9,36.05,5,23.29682,100
0,17,9,35.7875,4,22.56756,25
0,17,9,35.7875,4,22.56756,0
0,18,9,35.525,3,21.99962,0
0,19,9,35.2625,2,21.5573,0
1,0,9,40.25,21,200,25
1,1,9,39.9875,20,160.1841,37.5
1,0,9,40.25,21,200,100
1,1,9,39.9875,20,160.1841,100
1,2,9,39.725,19,129.1755,100
1,3,9,39.4625,18,105.026,100
1,4,9,39.2,17,86.2183,83.33334
1,5,9,38.9375,16,71.57086,100
1,6,9,38.675,15,60.16343,100
1,7,9,38.4125,14,51.27931,100
1,8,9,38.15,13,44.36035,100
1,9,9,37.8875,12,38.97186,100
1,10,9,37.625,11,34.7753,80
1,10,9,37.625,11,34.7753,0
1,11,9,37.3625,10,31.50702,0
1,12,9,37.1,9,28.96167,0
1,13,9,36.8375,8,26.97936,0
1,14,9,36.575,7,25.43553,0
1,15,9,36.3125,6,24.23319,0
1,16,9,36.05,5,23.29682,0
1,17,9,35.7875,4,22.56756,0
1,18,9,35.525,3,21.99962,0
1,19,9,35.2625,2,21.5573,0
