Experiment Index, Participant Index, Trial Left Frequency, Trial Left Roughness, Trial Left Amplitude, Trial Right Frequency, Trial Right Roughness, Trial Right Amplitude, Left Frequency, Left Roughness, Left Amplitude, Right Frequency, Right Roughness, Right Amplitude, Visual Frequency Difference Between Sides, Haptic Frequency Difference Between Sides, Amplitude Difference Between Sides
3,0,30,-20,2,30,-20,2,55.38096,-121.5238,1,55.42857,-121.7143,1,0.04760742,0.1904297,0
3,1,30,-20,2,30,-20,2,36.04763,-44.19051,1,35,-40,1,1.04763,4.19051,0
3,2,30,-20,2,30,-20,2,64.80952,-159.2381,1,76.46429,-205.8571,1,11.65477,46.61908,0
3,3,30,-20,2,30,-20,2,65.85715,-163.4286,1,63.36906,-153.4762,1,2.488091,9.952362,0
3,4,30,-20,2,30,-20,2,56.95237,-127.8095,1,49.2262,-96.90479,1,7.726177,30.90471,0
3,5,30,-20,2,30,-20,2,41.23809,-64.95235,1,32.46429,-29.85715,1,8.7738,35.0952,0
3,6,30,-20,2,30,-20,2,51.71429,-106.8571,1,55.51191,-122.0477,1,3.797626,15.19051,0
3,7,30,-20,2,30,-20,2,36,-44,1,38.2262,-52.9048,1,2.2262,8.9048,0
3,8,30,-20,2,30,-20,2,27.61904,-10.47617,1,31.94048,-27.76193,1,4.32144,17.28576,0
3,9,30,-20,2,30,-20,2,31.85714,-27.42857,1,34.47617,-37.90469,1,2.619032,10.47613,0
3,10,30,-20,2,30,-20,2,35.52382,-42.09526,1,25,0,1,10.52382,42.09526,0
3,11,30,-20,2,30,-20,2,67.95236,-171.8094,1,51.71429,-106.8571,1,16.23808,64.9523,0
3,12,30,-20,2,30,-20,2,80,-220,1,31.15477,-24.61908,1,48.84523,195.3809,0
3,13,30,-20,2,30,-20,2,70.3095,-181.238,1,72.01193,-188.0477,1,1.702431,6.809723,0
3,14,30,-20,2,30,-20,2,47.78571,-91.14285,1,60.48811,-141.9525,1,12.7024,50.8096,0
3,15,30,-20,2,30,-20,2,45.16666,-80.66664,1,73.58334,-194.3334,1,28.41668,113.6667,0
3,16,30,-20,2,30,-20,2,29.45237,-17.80949,1,28.71428,-14.85714,1,0.7380886,2.952354,0
3,18,30,-20,2,30,-20,2,66.64285,-166.5714,1,67.29762,-169.1905,1,0.6547699,2.61908,0
