Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,16,12,36.05,5,23.29682,0
2,16,13,36.05,5,23.29682,0
2,16,14,36.05,5,23.29682,0
2,16,15,37.38,5,23.29682,0
2,16,16,37.38,5,23.29682,0
2,16,17,37.38,5,23.29682,44.54546
2,16,17,37.38,5,23.29682,40
2,16,18,37.38,5,23.29682,40
2,16,18,37.38,5,23.29682,35
2,16,19,37.38,5,23.29682,47.5
2,16,19,37.38,5,23.29682,33.33333
2,16,20,37.38,5,23.29682,71.42857
2,16,20,37.38,5,23.29682,0
2,16,21,37.38,5,23.29682,66.66666
2,16,22,37.38,5,23.29682,0
2,16,23,37.38,5,23.29682,40
2,16,25,37.38,5,23.29682,0
