Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
5,9,36,41.545,12,38.97186,100
5,10,36,40.95,11,34.7753,100
5,11,36,40.355,10,31.50702,100
5,12,36,39.76,9,28.96167,100
5,13,36,39.165,8,26.97936,25
5,12,36,39.76,9,28.96167,0
5,14,36,38.57,7,25.43553,0
5,15,36,37.975,6,24.23319,0
5,16,36,37.38,5,23.29682,0
5,17,36,36.785,4,22.56756,0
5,18,36,36.19,3,21.99962,0
5,19,36,35.595,2,21.5573,0
6,9,36,41.545,12,38.97186,71.42857
6,10,36,40.95,11,34.7753,90
6,11,36,40.355,10,31.50702,100
6,12,36,39.76,9,28.96167,75
6,12,36,39.76,9,28.96167,0
6,13,36,39.165,8,26.97936,0
6,14,36,38.57,7,25.43553,0
6,15,36,37.975,6,24.23319,0
6,16,36,37.38,5,23.29682,0
6,17,36,36.785,4,22.56756,0
6,18,36,36.19,3,21.99962,0
6,19,36,35.595,2,21.5573,0
