Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
5,13,30,39.165,8,26.97936,66.66666
5,13,30,39.165,8,26.97936,0
5,13,31,39.165,8,26.97936,66.66666
5,13,31,39.165,8,26.97936,83.33334
5,13,32,39.165,8,26.97936,88.88889
5,13,34,39.165,8,26.97936,100
5,13,34,39.165,8,26.97936,64.28571
5,13,35,39.165,8,26.97936,100
5,13,35,39.165,8,26.97936,57.14286
5,13,36,39.165,8,26.97936,25
5,13,37,39.165,8,26.97936,0
5,13,38,39.165,8,26.97936,100
