Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
2,9,15,41.545,12,38.97186,100
2,10,15,40.95,11,34.7753,100
2,11,15,40.355,10,31.50702,83.33334
2,12,15,39.76,9,28.96167,100
2,13,15,39.165,8,26.97936,83.33334
2,14,15,38.57,7,25.43553,33.33333
2,14,15,38.57,7,25.43553,0
2,15,15,37.975,6,24.23319,0
2,16,15,37.38,5,23.29682,0
2,17,15,36.785,4,22.56756,0
2,18,15,36.19,3,21.99962,0
2,19,15,35.595,2,21.5573,0
3,9,15,41.545,12,38.97186,100
3,10,15,40.95,11,34.7753,100
3,11,15,40.355,10,31.50702,88.88889
3,12,15,39.76,9,28.96167,84.61539
3,13,15,39.165,8,26.97936,100
3,14,15,38.57,7,25.43553,100
3,15,15,37.975,6,24.23319,100
3,16,15,37.38,5,23.29682,66.66666
3,16,15,37.38,5,23.29682,0
3,17,15,36.785,4,22.56756,0
3,18,15,36.19,3,21.99962,0
3,19,15,35.595,2,21.5573,0
4,9,15,41.545,12,38.97186,100
4,10,15,40.95,11,34.7753,100
4,11,15,40.355,10,31.50702,83.33334
4,12,15,39.76,9,28.96167,100
4,13,15,39.165,8,26.97936,75
4,14,15,38.57,7,25.43553,100
4,15,15,37.975,6,24.23319,100
4,16,15,37.38,5,23.29682,64.28571
4,15,15,37.975,6,24.23319,100
4,17,15,36.785,4,22.56756,0
4,18,15,36.19,3,21.99962,0
4,19,15,35.595,2,21.5573,0
