Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Index, Trial Haptic Frequency, Percentage Perceived Smoother
5,9,31,41.545,12,38.97186,100
5,10,31,40.95,11,34.7753,100
5,11,31,40.355,10,31.50702,100
5,12,31,39.76,9,28.96167,100
5,13,31,39.165,8,26.97936,66.66666
5,12,31,39.76,9,28.96167,75
5,13,31,39.165,8,26.97936,83.33334
5,14,31,38.57,7,25.43553,85.71429
5,15,31,37.975,6,24.23319,58.33333
5,14,31,38.57,7,25.43553,83.33334
5,15,31,37.975,6,24.23319,33.33333
5,16,31,37.38,5,23.29682,0
5,17,31,36.785,4,22.56756,0
5,18,31,36.19,3,21.99962,0
5,19,31,35.595,2,21.5573,0
6,9,31,41.545,12,38.97186,100
6,10,31,40.95,11,34.7753,100
6,11,31,40.355,10,31.50702,100
6,12,31,39.76,9,28.96167,83.33334
6,13,31,39.165,8,26.97936,77.77778
6,14,31,38.57,7,25.43553,88.88889
6,15,31,37.975,6,24.23319,83.33334
6,16,31,37.38,5,23.29682,50
6,16,31,37.38,5,23.29682,0
6,17,31,36.785,4,22.56756,0
6,18,31,36.19,3,21.99962,0
6,19,31,35.595,2,21.5573,0
